time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure,Month_Day_Time,Month_Day_Time_numeric
2017-01-01 00:00:00+00:00,-1.91,85.94,0.0,0.0,0.0,285.7,3.45,145.0,100100.0,2025-01-01 00:00:00+00:00,1735689600.0
2017-01-01 01:00:00+00:00,-1.5,86.37,0.0,0.0,0.0,287.77,3.55,157.0,100040.0,2025-01-01 01:00:00+00:00,1735693200.0
2017-01-01 02:00:00+00:00,-1.08,86.81,0.0,0.0,0.0,289.84,3.64,165.0,99960.0,2025-01-01 02:00:00+00:00,1735696800.0
2017-01-01 03:00:00+00:00,-0.67,87.24,0.0,0.0,0.0,291.91,3.74,174.0,99920.0,2025-01-01 03:00:00+00:00,1735700400.0
2017-01-01 04:00:00+00:00,-0.25,87.67,0.0,0.0,0.0,293.98,3.83,182.0,99870.0,2025-01-01 04:00:00+00:00,1735704000.0
2017-01-01 05:00:00+00:00,0.16,88.1,0.0,0.0,0.0,296.05,3.93,186.0,99840.0,2025-01-01 05:00:00+00:00,1735707600.0
2017-01-01 06:00:00+00:00,0.58,88.54,0.0,0.0,0.0,298.12,4.02,195.0,99830.0,2025-01-01 06:00:00+00:00,1735711200.0
2017-01-01 07:00:00+00:00,0.99,88.97,0.0,0.0,0.0,300.2,4.12,208.0,99950.0,2025-01-01 07:00:00+00:00,1735714800.0
2017-01-01 08:00:00+00:00,0.58,92.0,0.0,0.0,0.0,287.95,3.72,226.0,100010.0,2025-01-01 08:00:00+00:00,1735718400.0
2017-01-01 09:00:00+00:00,0.38,88.5,0.0,0.0,0.0,265.3,4.48,239.0,100050.0,2025-01-01 09:00:00+00:00,1735722000.0
2017-01-01 10:00:00+00:00,0.18,85.15,0.0,0.0,0.0,266.85,5.17,249.0,100170.0,2025-01-01 10:00:00+00:00,1735725600.0
2017-01-01 11:00:00+00:00,-0.16,88.45,0.0,0.0,0.0,250.2,6.0,257.0,100350.0,2025-01-01 11:00:00+00:00,1735729200.0
2017-01-01 12:00:00+00:00,-0.6,88.45,0.0,0.0,0.0,267.45,6.14,262.0,100550.0,2025-01-01 12:00:00+00:00,1735732800.0
2017-01-01 13:00:00+00:00,-1.18,85.0,60.8,434.47,40.1,280.4,6.34,269.0,100740.0,2025-01-01 13:00:00+00:00,1735736400.0
2017-01-01 14:00:00+00:00,-1.95,78.35,136.25,208.81,98.55,271.1,6.48,273.0,100940.0,2025-01-01 14:00:00+00:00,1735740000.0
2017-01-01 15:00:00+00:00,-2.61,75.2,217.45,403.16,103.7,270.15,6.41,274.0,101120.0,2025-01-01 15:00:00+00:00,1735743600.0
2017-01-01 16:00:00+00:00,-3.03,75.1,296.1,499.69,123.45,241.15,5.79,271.0,101270.0,2025-01-01 16:00:00+00:00,1735747200.0
2017-01-01 17:00:00+00:00,-3.04,72.1,325.05,580.74,112.3,234.95,5.79,269.0,101360.0,2025-01-01 17:00:00+00:00,1735750800.0
2017-01-01 18:00:00+00:00,-2.8,69.35,305.4,620.04,92.6,227.75,5.72,267.0,101460.0,2025-01-01 18:00:00+00:00,1735754400.0
2017-01-01 19:00:00+00:00,-2.46,72.25,209.75,530.66,62.4,212.85,4.62,262.0,101610.0,2025-01-01 19:00:00+00:00,1735758000.0
2017-01-01 20:00:00+00:00,-2.52,72.25,86.65,307.36,33.1,209.2,4.07,262.0,101750.0,2025-01-01 20:00:00+00:00,1735761600.0
2017-01-01 21:00:00+00:00,-3.1,75.1,2.0,0.0,2.0,208.6,3.17,264.0,101860.0,2025-01-01 21:00:00+00:00,1735765200.0
2017-01-01 22:00:00+00:00,-4.02,78.05,0.0,0.0,0.0,208.2,2.28,266.0,101970.0,2025-01-01 22:00:00+00:00,1735768800.0
2017-01-01 23:00:00+00:00,-4.95,81.2,0.0,0.0,0.0,207.65,1.72,258.0,102060.0,2025-01-01 23:00:00+00:00,1735772400.0
2017-01-02 00:00:00+00:00,-6.51,81.05,0.0,0.0,0.0,208.05,1.79,232.0,102170.0,2025-01-02 00:00:00+00:00,1735776000.0
2017-01-02 01:00:00+00:00,-7.24,84.4,0.0,0.0,0.0,213.0,1.72,204.0,102240.0,2025-01-02 01:00:00+00:00,1735779600.0
2017-01-02 02:00:00+00:00,-7.79,84.35,0.0,0.0,0.0,220.4,2.34,180.0,102270.0,2025-01-02 02:00:00+00:00,1735783200.0
2017-01-02 03:00:00+00:00,-7.56,84.35,0.0,0.0,0.0,214.8,2.83,184.0,102300.0,2025-01-02 03:00:00+00:00,1735786800.0
2017-01-02 04:00:00+00:00,-7.2,84.4,0.0,0.0,0.0,213.45,2.76,196.0,102350.0,2025-01-02 04:00:00+00:00,1735790400.0
2017-01-02 05:00:00+00:00,-6.96,84.4,0.0,0.0,0.0,212.5,2.76,216.0,102390.0,2025-01-02 05:00:00+00:00,1735794000.0
2017-01-02 06:00:00+00:00,-7.07,87.95,0.0,0.0,0.0,210.75,2.62,229.0,102440.0,2025-01-02 06:00:00+00:00,1735797600.0
2017-01-02 07:00:00+00:00,-7.37,84.4,0.0,0.0,0.0,213.05,2.41,229.0,102500.0,2025-01-02 07:00:00+00:00,1735801200.0
2017-01-02 08:00:00+00:00,-7.73,87.9,0.0,0.0,0.0,214.8,1.86,231.0,102560.0,2025-01-02 08:00:00+00:00,1735804800.0
2017-01-02 09:00:00+00:00,-7.9,87.9,0.0,0.0,0.0,228.15,1.72,240.0,102590.0,2025-01-02 09:00:00+00:00,1735808400.0
2017-01-02 10:00:00+00:00,-8.01,91.55,0.0,0.0,0.0,234.55,1.72,258.0,102650.0,2025-01-02 10:00:00+00:00,1735812000.0
2017-01-02 11:00:00+00:00,-6.39,91.65,0.0,0.0,0.0,228.15,1.1,261.0,102680.0,2025-01-02 11:00:00+00:00,1735815600.0
2017-01-02 12:00:00+00:00,-6.65,91.65,0.0,0.0,0.0,241.3,0.48,203.0,102720.0,2025-01-02 12:00:00+00:00,1735819200.0
2017-01-02 13:00:00+00:00,-6.9,91.6,78.2,567.54,51.1,247.9,0.9,132.0,102770.0,2025-01-02 13:00:00+00:00,1735822800.0
2017-01-02 14:00:00+00:00,-7.73,91.6,180.6,428.05,103.15,238.4,1.17,123.0,102810.0,2025-01-02 14:00:00+00:00,1735826400.0
2017-01-02 15:00:00+00:00,-6.24,88.0,271.75,469.67,138.9,247.7,1.1,111.0,102850.0,2025-01-02 15:00:00+00:00,1735830000.0
2017-01-02 16:00:00+00:00,-4.47,88.1,348.5,678.21,113.45,245.2,1.17,86.0,102840.0,2025-01-02 16:00:00+00:00,1735833600.0
2017-01-02 17:00:00+00:00,-2.53,81.5,366.55,783.3,78.5,232.2,1.52,60.0,102770.0,2025-01-02 17:00:00+00:00,1735837200.0
2017-01-02 18:00:00+00:00,-1.6,78.45,315.65,709.6,70.9,224.85,2.21,49.0,102680.0,2025-01-02 18:00:00+00:00,1735840800.0
2017-01-02 19:00:00+00:00,-0.36,78.6,215.6,563.39,58.05,226.8,2.48,55.0,102670.0,2025-01-02 19:00:00+00:00,1735844400.0
2017-01-02 20:00:00+00:00,-0.6,81.75,88.25,313.79,32.9,227.4,2.76,55.0,102650.0,2025-01-02 20:00:00+00:00,1735848000.0
2017-01-02 21:00:00+00:00,-1.54,84.95,3.5,27.26,2.35,225.85,2.9,56.0,102670.0,2025-01-02 21:00:00+00:00,1735851600.0
2017-01-02 22:00:00+00:00,-2.63,88.25,0.0,0.0,0.0,223.9,3.1,55.0,102690.0,2025-01-02 22:00:00+00:00,1735855200.0
2017-01-02 23:00:00+00:00,-3.39,88.2,0.0,0.0,0.0,221.6,3.17,57.0,102670.0,2025-01-02 23:00:00+00:00,1735858800.0
2017-01-03 00:00:00+00:00,-4.01,88.15,0.0,0.0,0.0,220.05,3.38,59.0,102570.0,2025-01-03 00:00:00+00:00,1735862400.0
2017-01-03 01:00:00+00:00,-4.36,88.15,0.0,0.0,0.0,219.75,3.24,55.0,102520.0,2025-01-03 01:00:00+00:00,1735866000.0
2017-01-03 02:00:00+00:00,-4.97,91.7,0.0,0.0,0.0,217.9,3.1,48.0,102520.0,2025-01-03 02:00:00+00:00,1735869600.0
2017-01-03 03:00:00+00:00,-5.58,88.0,0.0,0.0,0.0,216.75,3.1,54.0,102450.0,2025-01-03 03:00:00+00:00,1735873200.0
2017-01-03 04:00:00+00:00,-5.81,88.0,0.0,0.0,0.0,225.85,3.1,61.0,102350.0,2025-01-03 04:00:00+00:00,1735876800.0
2017-01-03 05:00:00+00:00,-6.05,88.0,0.0,0.0,0.0,221.75,2.9,61.0,102290.0,2025-01-03 05:00:00+00:00,1735880400.0
2017-01-03 06:00:00+00:00,-5.81,84.5,0.0,0.0,0.0,255.65,2.9,58.0,102230.0,2025-01-03 06:00:00+00:00,1735884000.0
2017-01-03 07:00:00+00:00,-4.97,88.05,0.0,0.0,0.0,275.95,3.31,63.0,102100.0,2025-01-03 07:00:00+00:00,1735887600.0
2017-01-03 08:00:00+00:00,-4.33,81.3,0.0,0.0,0.0,286.8,3.1,62.0,102040.0,2025-01-03 08:00:00+00:00,1735891200.0
2017-01-03 09:00:00+00:00,-4.02,84.65,0.0,0.0,0.0,281.2,3.24,63.0,101980.0,2025-01-03 09:00:00+00:00,1735894800.0
2017-01-03 10:00:00+00:00,-3.33,81.45,0.0,0.0,0.0,295.5,3.38,71.0,101790.0,2025-01-03 10:00:00+00:00,1735898400.0
2017-01-03 11:00:00+00:00,-2.75,84.85,0.0,0.0,0.0,297.85,3.38,67.0,101700.0,2025-01-03 11:00:00+00:00,1735902000.0
