horizon_azimuth,horizon_elevation
0.0,0.0
7.5,0.0
15.0,0.0
22.5,0.0
30.0,0.0
37.5,0.0
45.0,0.0
52.5,0.0
60.0,0.0
67.5,0.0
75.0,0.0
82.5,0.4
90.0,0.0
97.5,0.0
105.0,0.4
112.5,3.1
120.0,6.1
127.5,6.1
135.0,6.1
142.5,8.8
150.0,13.4
157.5,13.4
165.0,13.4
172.5,13.4
180.0,13.4
187.5,13.4
195.0,13.4
202.5,13.4
210.0,13.4
217.5,11.1
225.0,11.1
232.5,11.1
240.0,11.1
247.5,8.0
255.0,3.8
262.5,2.7
270.0,2.7
277.5,2.7
285.0,2.7
292.5,2.7
300.0,2.7
307.5,2.7
315.0,2.7
322.5,2.7
330.0,0.0
337.5,0.0
345.0,0.0
352.5,0.0
